v_cost,loss,tpr,fpr,p_fake,log10_lambda,loss_aversion
4.234962728992104353e-01,1.617035329341888428e+00,9.208471839688718852e-01,1.579263811372220716e-01,8.603124550543724824e-01,9.672815464437007904e-01,1.368535598739981651e+00
4.234962728992104353e-01,1.617035329341888428e+00,9.208471839688718852e-01,1.579263811372220716e-01,3.614530724473297152e-01,-4.795016944408416748e-01,1.368535598739981651e+00
4.234962728992104353e-01,1.617035329341888428e+00,9.208471839688718852e-01,1.579263811372220716e-01,3.614530724473297152e-01,9.672815464437007904e-01,1.419015752151608467e+00
4.234962728992104353e-01,1.617035329341888428e+00,9.208471839688718852e-01,1.579263811372220716e-01,3.614530724473297152e-01,9.672815464437007904e-01,1.368535598739981651e+00
7.675141007360071210e-01,2.097416587173938751e+00,8.094063021708279848e-01,1.262129352521151326e-01,6.587616447359323502e-01,-1.888656049966812134e+00,2.635622952133417130e+00
2.169518221449107109e-01,2.097416587173938751e+00,8.094063021708279848e-01,1.262129352521151326e-01,6.587616447359323502e-01,-1.888656049966812134e+00,2.635622952133417130e+00
7.675141007360071210e-01,1.360954675823450089e+00,8.094063021708279848e-01,1.262129352521151326e-01,6.587616447359323502e-01,-1.888656049966812134e+00,2.635622952133417130e+00
7.675141007360071210e-01,2.097416587173938751e+00,8.347601302620023533e-01,1.262129352521151326e-01,6.587616447359323502e-01,-1.888656049966812134e+00,2.635622952133417130e+00
7.675141007360071210e-01,2.097416587173938751e+00,8.094063021708279848e-01,1.039627164695411943e-01,6.587616447359323502e-01,-1.888656049966812134e+00,2.635622952133417130e+00
7.675141007360071210e-01,2.097416587173938751e+00,8.094063021708279848e-01,1.262129352521151326e-01,2.620753115043044090e-01,-1.888656049966812134e+00,2.635622952133417130e+00
7.675141007360071210e-01,2.097416587173938751e+00,8.094063021708279848e-01,1.262129352521151326e-01,6.587616447359323502e-01,-1.320086557418107986e+00,2.635622952133417130e+00
7.675141007360071210e-01,2.097416587173938751e+00,8.094063021708279848e-01,1.262129352521151326e-01,6.587616447359323502e-01,-1.888656049966812134e+00,2.586910484358668327e+00
7.675141007360071210e-01,1.360954675823450089e+00,8.347601302620023533e-01,1.039627164695411943e-01,2.620753115043044090e-01,-1.320086557418107986e+00,2.586910484358668327e+00
2.169518221449107109e-01,2.097416587173938751e+00,8.347601302620023533e-01,1.039627164695411943e-01,2.620753115043044090e-01,-1.320086557418107986e+00,2.586910484358668327e+00
2.169518221449107109e-01,1.360954675823450089e+00,8.094063021708279848e-01,1.039627164695411943e-01,2.620753115043044090e-01,-1.320086557418107986e+00,2.586910484358668327e+00
2.169518221449107109e-01,1.360954675823450089e+00,8.347601302620023533e-01,1.262129352521151326e-01,2.620753115043044090e-01,-1.320086557418107986e+00,2.586910484358668327e+00
2.169518221449107109e-01,1.360954675823450089e+00,8.347601302620023533e-01,1.039627164695411943e-01,6.587616447359323502e-01,-1.320086557418107986e+00,2.586910484358668327e+00
2.169518221449107109e-01,1.360954675823450089e+00,8.347601302620023533e-01,1.039627164695411943e-01,2.620753115043044090e-01,-1.888656049966812134e+00,2.586910484358668327e+00
2.169518221449107109e-01,1.360954675823450089e+00,8.347601302620023533e-01,1.039627164695411943e-01,2.620753115043044090e-01,-1.320086557418107986e+00,2.635622952133417130e+00
2.169518221449107109e-01,1.360954675823450089e+00,8.347601302620023533e-01,1.039627164695411943e-01,2.620753115043044090e-01,-1.320086557418107986e+00,2.586910484358668327e+00
1.210853837709873898e-01,1.267090279608964920e+00,7.605382119957357911e-01,2.536051037721335777e-01,7.483187513425945681e-02,7.723171301186084747e-01,1.674779061228036880e+00
7.754933226946740810e-01,1.267090279608964920e+00,7.605382119957357911e-01,2.536051037721335777e-01,7.483187513425945681e-02,7.723171301186084747e-01,1.674779061228036880e+00
1.210853837709873898e-01,2.364678099751472473e+00,7.605382119957357911e-01,2.536051037721335777e-01,7.483187513425945681e-02,7.723171301186084747e-01,1.674779061228036880e+00
1.210853837709873898e-01,1.267090279608964920e+00,7.307800530362873470e-01,2.536051037721335777e-01,7.483187513425945681e-02,7.723171301186084747e-01,1.674779061228036880e+00
1.210853837709873898e-01,1.267090279608964920e+00,7.605382119957357911e-01,3.444545602891594394e-01,7.483187513425945681e-02,7.723171301186084747e-01,1.674779061228036880e+00
1.210853837709873898e-01,1.267090279608964920e+00,7.605382119957357911e-01,2.536051037721335777e-01,7.549970695748925431e-01,7.723171301186084747e-01,1.674779061228036880e+00
1.210853837709873898e-01,1.267090279608964920e+00,7.605382119957357911e-01,2.536051037721335777e-01,7.483187513425945681e-02,1.873621907085180283e+00,1.674779061228036880e+00
1.210853837709873898e-01,1.267090279608964920e+00,7.605382119957357911e-01,2.536051037721335777e-01,7.483187513425945681e-02,7.723171301186084747e-01,1.969772065058350563e+00
1.210853837709873898e-01,2.364678099751472473e+00,7.307800530362873470e-01,3.444545602891594394e-01,7.549970695748925431e-01,1.873621907085180283e+00,1.969772065058350563e+00
7.754933226946740810e-01,1.267090279608964920e+00,7.307800530362873470e-01,3.444545602891594394e-01,7.549970695748925431e-01,1.873621907085180283e+00,1.969772065058350563e+00
7.754933226946740810e-01,2.364678099751472473e+00,7.605382119957357911e-01,3.444545602891594394e-01,7.549970695748925431e-01,1.873621907085180283e+00,1.969772065058350563e+00
7.754933226946740810e-01,2.364678099751472473e+00,7.307800530362873470e-01,2.536051037721335777e-01,7.549970695748925431e-01,1.873621907085180283e+00,1.969772065058350563e+00
7.754933226946740810e-01,2.364678099751472473e+00,7.307800530362873470e-01,3.444545602891594394e-01,7.483187513425945681e-02,1.873621907085180283e+00,1.969772065058350563e+00
7.754933226946740810e-01,2.364678099751472473e+00,7.307800530362873470e-01,3.444545602891594394e-01,7.549970695748925431e-01,7.723171301186084747e-01,1.969772065058350563e+00
7.754933226946740810e-01,2.364678099751472473e+00,7.307800530362873470e-01,3.444545602891594394e-01,7.549970695748925431e-01,1.873621907085180283e+00,1.674779061228036880e+00
7.754933226946740810e-01,2.364678099751472473e+00,7.307800530362873470e-01,3.444545602891594394e-01,7.549970695748925431e-01,1.873621907085180283e+00,1.969772065058350563e+00
1.912677138205617633e-01,2.291881203651428223e+00,6.306925410591065484e-01,2.804967047646642064e-01,1.695720589719712512e-01,1.612827602773904800e+00,2.768896317109465599e+00
8.632994171231984926e-02,2.291881203651428223e+00,6.306925410591065484e-01,2.804967047646642064e-01,1.695720589719712512e-01,1.612827602773904800e+00,2.768896317109465599e+00
1.912677138205617633e-01,1.004166960716247559e+00,6.306925410591065484e-01,2.804967047646642064e-01,1.695720589719712512e-01,1.612827602773904800e+00,2.768896317109465599e+00
1.912677138205617633e-01,2.291881203651428223e+00,9.784642791375517401e-01,2.804967047646642064e-01,1.695720589719712512e-01,1.612827602773904800e+00,2.768896317109465599e+00
1.912677138205617633e-01,2.291881203651428223e+00,6.306925410591065484e-01,5.564759547822177577e-02,1.695720589719712512e-01,1.612827602773904800e+00,2.768896317109465599e+00
1.912677138205617633e-01,2.291881203651428223e+00,6.306925410591065484e-01,2.804967047646642064e-01,9.489751723594963551e-01,1.612827602773904800e+00,2.768896317109465599e+00
1.912677138205617633e-01,2.291881203651428223e+00,6.306925410591065484e-01,2.804967047646642064e-01,1.695720589719712512e-01,-1.654892690479755402e+00,2.768896317109465599e+00
1.912677138205617633e-01,2.291881203651428223e+00,6.306925410591065484e-01,2.804967047646642064e-01,1.695720589719712512e-01,1.612827602773904800e+00,1.052543539553880692e+00
1.912677138205617633e-01,1.004166960716247559e+00,9.784642791375517401e-01,5.564759547822177577e-02,9.489751723594963551e-01,-1.654892690479755402e+00,1.052543539553880692e+00
8.632994171231984926e-02,2.291881203651428223e+00,9.784642791375517401e-01,5.564759547822177577e-02,9.489751723594963551e-01,-1.654892690479755402e+00,1.052543539553880692e+00
8.632994171231984926e-02,1.004166960716247559e+00,6.306925410591065484e-01,5.564759547822177577e-02,9.489751723594963551e-01,-1.654892690479755402e+00,1.052543539553880692e+00
8.632994171231984926e-02,1.004166960716247559e+00,9.784642791375517401e-01,2.804967047646642064e-01,9.489751723594963551e-01,-1.654892690479755402e+00,1.052543539553880692e+00
8.632994171231984926e-02,1.004166960716247559e+00,9.784642791375517401e-01,5.564759547822177577e-02,1.695720589719712512e-01,-1.654892690479755402e+00,1.052543539553880692e+00
8.632994171231984926e-02,1.004166960716247559e+00,9.784642791375517401e-01,5.564759547822177577e-02,9.489751723594963551e-01,1.612827602773904800e+00,1.052543539553880692e+00
8.632994171231984926e-02,1.004166960716247559e+00,9.784642791375517401e-01,5.564759547822177577e-02,9.489751723594963551e-01,-1.654892690479755402e+00,2.768896317109465599e+00
8.632994171231984926e-02,1.004166960716247559e+00,9.784642791375517401e-01,5.564759547822177577e-02,9.489751723594963551e-01,-1.654892690479755402e+00,1.052543539553880692e+00
9.440434158127755104e-01,1.086562540382146835e+00,9.720059716142713802e-01,1.594971503783017552e-01,5.289266904816031234e-01,-7.272052913904190063e-01,1.792238121852278709e+00
8.909514741040766017e-01,1.086562540382146835e+00,9.720059716142713802e-01,1.594971503783017552e-01,5.289266904816031234e-01,-7.272052913904190063e-01,1.792238121852278709e+00
9.440434158127755104e-01,2.000688303261995316e+00,9.720059716142713802e-01,1.594971503783017552e-01,5.289266904816031234e-01,-7.272052913904190063e-01,1.792238121852278709e+00
9.440434158127755104e-01,1.086562540382146835e+00,6.848169421590863948e-01,1.594971503783017552e-01,5.289266904816031234e-01,-7.272052913904190063e-01,1.792238121852278709e+00
9.440434158127755104e-01,1.086562540382146835e+00,9.720059716142713802e-01,3.936275374423712781e-01,5.289266904816031234e-01,-7.272052913904190063e-01,1.792238121852278709e+00
9.440434158127755104e-01,1.086562540382146835e+00,9.720059716142713802e-01,1.594971503783017552e-01,9.020762154832481783e-02,-7.272052913904190063e-01,1.792238121852278709e+00
9.440434158127755104e-01,1.086562540382146835e+00,9.720059716142713802e-01,1.594971503783017552e-01,5.289266904816031234e-01,1.163872845470905304e+00,1.792238121852278709e+00
9.440434158127755104e-01,1.086562540382146835e+00,9.720059716142713802e-01,1.594971503783017552e-01,5.289266904816031234e-01,-7.272052913904190063e-01,2.386936590075492859e+00
9.440434158127755104e-01,2.000688303261995316e+00,6.848169421590863948e-01,3.936275374423712781e-01,9.020762154832481783e-02,1.163872845470905304e+00,2.386936590075492859e+00
8.909514741040766017e-01,1.086562540382146835e+00,6.848169421590863948e-01,3.936275374423712781e-01,9.020762154832481783e-02,1.163872845470905304e+00,2.386936590075492859e+00
8.909514741040766017e-01,2.000688303261995316e+00,9.720059716142713802e-01,3.936275374423712781e-01,9.020762154832481783e-02,1.163872845470905304e+00,2.386936590075492859e+00
8.909514741040766017e-01,2.000688303261995316e+00,6.848169421590863948e-01,1.594971503783017552e-01,9.020762154832481783e-02,1.163872845470905304e+00,2.386936590075492859e+00
8.909514741040766017e-01,2.000688303261995316e+00,6.848169421590863948e-01,3.936275374423712781e-01,5.289266904816031234e-01,1.163872845470905304e+00,2.386936590075492859e+00
8.909514741040766017e-01,2.000688303261995316e+00,6.848169421590863948e-01,3.936275374423712781e-01,9.020762154832481783e-02,-7.272052913904190063e-01,2.386936590075492859e+00
8.909514741040766017e-01,2.000688303261995316e+00,6.848169421590863948e-01,3.936275374423712781e-01,9.020762154832481783e-02,1.163872845470905304e+00,1.792238121852278709e+00
8.909514741040766017e-01,2.000688303261995316e+00,6.848169421590863948e-01,3.936275374423712781e-01,9.020762154832481783e-02,1.163872845470905304e+00,2.386936590075492859e+00
5.181969097442925554e-01,2.948183529078960419e+00,7.266376839391887055e-01,3.762518723402172305e-01,7.370839928276836650e-01,-1.138981416821479797e+00,2.012400403618812561e+00
7.394842328224331407e-01,2.948183529078960419e+00,7.266376839391887055e-01,3.762518723402172305e-01,7.370839928276836650e-01,-1.138981416821479797e+00,2.012400403618812561e+00
5.181969097442925554e-01,2.756784096360206604e+00,7.266376839391887055e-01,3.762518723402172305e-01,7.370839928276836650e-01,-1.138981416821479797e+00,2.012400403618812561e+00
5.181969097442925554e-01,2.948183529078960419e+00,7.937536979746073751e-01,3.762518723402172305e-01,7.370839928276836650e-01,-1.138981416821479797e+00,2.012400403618812561e+00
5.181969097442925554e-01,2.948183529078960419e+00,7.266376839391887055e-01,2.650154316425323842e-01,7.370839928276836650e-01,-1.138981416821479797e+00,2.012400403618812561e+00
5.181969097442925554e-01,2.948183529078960419e+00,7.266376839391887055e-01,3.762518723402172305e-01,4.425739133730530184e-01,-1.138981416821479797e+00,2.012400403618812561e+00
5.181969097442925554e-01,2.948183529078960419e+00,7.266376839391887055e-01,3.762518723402172305e-01,7.370839928276836650e-01,-5.609951093792915344e-01,2.012400403618812561e+00
5.181969097442925554e-01,2.948183529078960419e+00,7.266376839391887055e-01,3.762518723402172305e-01,7.370839928276836650e-01,-1.138981416821479797e+00,1.669584058225154877e+00
5.181969097442925554e-01,2.756784096360206604e+00,7.937536979746073751e-01,2.650154316425323842e-01,4.425739133730530184e-01,-5.609951093792915344e-01,1.669584058225154877e+00
7.394842328224331407e-01,2.948183529078960419e+00,7.937536979746073751e-01,2.650154316425323842e-01,4.425739133730530184e-01,-5.609951093792915344e-01,1.669584058225154877e+00
7.394842328224331407e-01,2.756784096360206604e+00,7.266376839391887055e-01,2.650154316425323842e-01,4.425739133730530184e-01,-5.609951093792915344e-01,1.669584058225154877e+00
7.394842328224331407e-01,2.756784096360206604e+00,7.937536979746073751e-01,3.762518723402172305e-01,4.425739133730530184e-01,-5.609951093792915344e-01,1.669584058225154877e+00
7.394842328224331407e-01,2.756784096360206604e+00,7.937536979746073751e-01,2.650154316425323842e-01,7.370839928276836650e-01,-5.609951093792915344e-01,1.669584058225154877e+00
7.394842328224331407e-01,2.756784096360206604e+00,7.937536979746073751e-01,2.650154316425323842e-01,4.425739133730530184e-01,-1.138981416821479797e+00,1.669584058225154877e+00
7.394842328224331407e-01,2.756784096360206604e+00,7.937536979746073751e-01,2.650154316425323842e-01,4.425739133730530184e-01,-5.609951093792915344e-01,2.012400403618812561e+00
7.394842328224331407e-01,2.756784096360206604e+00,7.937536979746073751e-01,2.650154316425323842e-01,4.425739133730530184e-01,-5.609951093792915344e-01,1.669584058225154877e+00
3.665344449691474438e-01,1.680365297943353653e+00,8.730139537341892186e-01,6.450146995484828949e-02,4.203417081385850684e-01,2.093768492341041565e-02,1.051434621214866638e+00
3.071044874470680863e-01,1.680365297943353653e+00,8.730139537341892186e-01,6.450146995484828949e-02,4.203417081385850684e-01,2.093768492341041565e-02,1.051434621214866638e+00
3.665344449691474438e-01,1.751962158828973770e+00,8.730139537341892186e-01,6.450146995484828949e-02,4.203417081385850684e-01,2.093768492341041565e-02,1.051434621214866638e+00
3.665344449691474438e-01,1.680365297943353653e+00,8.695513335708529024e-01,6.450146995484828949e-02,4.203417081385850684e-01,2.093768492341041565e-02,1.051434621214866638e+00
3.665344449691474438e-01,1.680365297943353653e+00,8.730139537341892186e-01,1.094195228815078719e-01,4.203417081385850684e-01,2.093768492341041565e-02,1.051434621214866638e+00
3.665344449691474438e-01,1.680365297943353653e+00,8.730139537341892186e-01,6.450146995484828949e-02,5.964715262874961121e-01,2.093768492341041565e-02,1.051434621214866638e+00
3.665344449691474438e-01,1.680365297943353653e+00,8.730139537341892186e-01,6.450146995484828949e-02,4.203417081385850684e-01,6.988413631916046143e-03,1.051434621214866638e+00
3.665344449691474438e-01,1.680365297943353653e+00,8.730139537341892186e-01,6.450146995484828949e-02,4.203417081385850684e-01,2.093768492341041565e-02,2.769850071519613266e+00
3.665344449691474438e-01,1.751962158828973770e+00,8.695513335708529024e-01,1.094195228815078719e-01,5.964715262874961121e-01,6.988413631916046143e-03,2.769850071519613266e+00
3.071044874470680863e-01,1.680365297943353653e+00,8.695513335708529024e-01,1.094195228815078719e-01,5.964715262874961121e-01,6.988413631916046143e-03,2.769850071519613266e+00
3.071044874470680863e-01,1.751962158828973770e+00,8.730139537341892186e-01,1.094195228815078719e-01,5.964715262874961121e-01,6.988413631916046143e-03,2.769850071519613266e+00
3.071044874470680863e-01,1.751962158828973770e+00,8.695513335708529024e-01,6.450146995484828949e-02,5.964715262874961121e-01,6.988413631916046143e-03,2.769850071519613266e+00
3.071044874470680863e-01,1.751962158828973770e+00,8.695513335708529024e-01,1.094195228815078719e-01,4.203417081385850684e-01,6.988413631916046143e-03,2.769850071519613266e+00
3.071044874470680863e-01,1.751962158828973770e+00,8.695513335708529024e-01,1.094195228815078719e-01,5.964715262874961121e-01,2.093768492341041565e-02,2.769850071519613266e+00
3.071044874470680863e-01,1.751962158828973770e+00,8.695513335708529024e-01,1.094195228815078719e-01,5.964715262874961121e-01,6.988413631916046143e-03,1.051434621214866638e+00
3.071044874470680863e-01,1.751962158828973770e+00,8.695513335708529024e-01,1.094195228815078719e-01,5.964715262874961121e-01,6.988413631916046143e-03,2.769850071519613266e+00
3.053726468607783628e-01,2.225714456290006638e+00,7.126200964115559922e-01,1.983546178136021132e-01,9.181666088290512118e-01,7.161502987146377563e-01,2.948324095457792282e+00
1.128083602525293758e-02,2.225714456290006638e+00,7.126200964115559922e-01,1.983546178136021132e-01,9.181666088290512118e-01,7.161502987146377563e-01,2.948324095457792282e+00
3.053726468607783628e-01,1.179934108629822731e+00,7.126200964115559922e-01,1.983546178136021132e-01,9.181666088290512118e-01,7.161502987146377563e-01,2.948324095457792282e+00
3.053726468607783628e-01,2.225714456290006638e+00,7.185990081075578351e-01,1.983546178136021132e-01,9.181666088290512118e-01,7.161502987146377563e-01,2.948324095457792282e+00
3.053726468607783628e-01,2.225714456290006638e+00,7.126200964115559922e-01,1.340055792313069039e-01,9.181666088290512118e-01,7.161502987146377563e-01,2.948324095457792282e+00
3.053726468607783628e-01,2.225714456290006638e+00,7.126200964115559922e-01,1.983546178136021132e-01,6.831942152231931242e-01,7.161502987146377563e-01,2.948324095457792282e+00
3.053726468607783628e-01,2.225714456290006638e+00,7.126200964115559922e-01,1.983546178136021132e-01,9.181666088290512118e-01,1.308785326778888702e+00,2.948324095457792282e+00
3.053726468607783628e-01,2.225714456290006638e+00,7.126200964115559922e-01,1.983546178136021132e-01,9.181666088290512118e-01,7.161502987146377563e-01,1.518114797770977020e+00
3.053726468607783628e-01,1.179934108629822731e+00,7.185990081075578351e-01,1.340055792313069039e-01,6.831942152231931242e-01,1.308785326778888702e+00,1.518114797770977020e+00
1.128083602525293758e-02,2.225714456290006638e+00,7.185990081075578351e-01,1.340055792313069039e-01,6.831942152231931242e-01,1.308785326778888702e+00,1.518114797770977020e+00
1.128083602525293758e-02,1.179934108629822731e+00,7.126200964115559922e-01,1.340055792313069039e-01,6.831942152231931242e-01,1.308785326778888702e+00,1.518114797770977020e+00
1.128083602525293758e-02,1.179934108629822731e+00,7.185990081075578351e-01,1.983546178136021132e-01,6.831942152231931242e-01,1.308785326778888702e+00,1.518114797770977020e+00
1.128083602525293758e-02,1.179934108629822731e+00,7.185990081075578351e-01,1.340055792313069039e-01,9.181666088290512118e-01,1.308785326778888702e+00,1.518114797770977020e+00
1.128083602525293758e-02,1.179934108629822731e+00,7.185990081075578351e-01,1.340055792313069039e-01,6.831942152231931242e-01,7.161502987146377563e-01,1.518114797770977020e+00
1.128083602525293758e-02,1.179934108629822731e+00,7.185990081075578351e-01,1.340055792313069039e-01,6.831942152231931242e-01,1.308785326778888702e+00,2.948324095457792282e+00
1.128083602525293758e-02,1.179934108629822731e+00,7.185990081075578351e-01,1.340055792313069039e-01,6.831942152231931242e-01,1.308785326778888702e+00,1.518114797770977020e+00
5.793426538258791281e-01,1.395875945687294006e+00,8.589431623555719986e-01,2.660111688822507925e-01,3.762037526816129351e-01,-1.568813648074865341e+00,1.987352591007947922e+00
9.386857891362160311e-01,1.395875945687294006e+00,8.589431623555719986e-01,2.660111688822507925e-01,3.762037526816129351e-01,-1.568813648074865341e+00,1.987352591007947922e+00
5.793426538258791281e-01,2.184267325326800346e+00,8.589431623555719986e-01,2.660111688822507925e-01,3.762037526816129351e-01,-1.568813648074865341e+00,1.987352591007947922e+00
5.793426538258791281e-01,1.395875945687294006e+00,7.981912071537226039e-01,2.660111688822507925e-01,3.762037526816129351e-01,-1.568813648074865341e+00,1.987352591007947922e+00
5.793426538258791281e-01,1.395875945687294006e+00,8.589431623555719986e-01,2.891790186148137098e-01,3.762037526816129351e-01,-1.568813648074865341e+00,1.987352591007947922e+00
5.793426538258791281e-01,1.395875945687294006e+00,8.589431623555719986e-01,2.660111688822507925e-01,2.776538848876952681e-01,-1.568813648074865341e+00,1.987352591007947922e+00
5.793426538258791281e-01,1.395875945687294006e+00,8.589431623555719986e-01,2.660111688822507925e-01,3.762037526816129351e-01,-1.755249984562397003e+00,1.987352591007947922e+00
5.793426538258791281e-01,1.395875945687294006e+00,8.589431623555719986e-01,2.660111688822507925e-01,3.762037526816129351e-01,-1.568813648074865341e+00,2.917451109737157822e+00
5.793426538258791281e-01,2.184267325326800346e+00,7.981912071537226039e-01,2.891790186148137098e-01,2.776538848876952681e-01,-1.755249984562397003e+00,2.917451109737157822e+00
9.386857891362160311e-01,1.395875945687294006e+00,7.981912071537226039e-01,2.891790186148137098e-01,2.776538848876952681e-01,-1.755249984562397003e+00,2.917451109737157822e+00
9.386857891362160311e-01,2.184267325326800346e+00,8.589431623555719986e-01,2.891790186148137098e-01,2.776538848876952681e-01,-1.755249984562397003e+00,2.917451109737157822e+00
9.386857891362160311e-01,2.184267325326800346e+00,7.981912071537226039e-01,2.660111688822507925e-01,2.776538848876952681e-01,-1.755249984562397003e+00,2.917451109737157822e+00
9.386857891362160311e-01,2.184267325326800346e+00,7.981912071537226039e-01,2.891790186148137098e-01,3.762037526816129351e-01,-1.755249984562397003e+00,2.917451109737157822e+00
9.386857891362160311e-01,2.184267325326800346e+00,7.981912071537226039e-01,2.891790186148137098e-01,2.776538848876952681e-01,-1.568813648074865341e+00,2.917451109737157822e+00
9.386857891362160311e-01,2.184267325326800346e+00,7.981912071537226039e-01,2.891790186148137098e-01,2.776538848876952681e-01,-1.755249984562397003e+00,1.987352591007947922e+00
9.386857891362160311e-01,2.184267325326800346e+00,7.981912071537226039e-01,2.891790186148137098e-01,2.776538848876952681e-01,-1.755249984562397003e+00,2.917451109737157822e+00
8.833654476422816426e-01,2.507033456116914749e+00,6.227147674374282627e-01,9.876742471009491986e-02,1.330139323137700669e-01,-3.179433569312095642e-02,2.208001250401139259e+00
6.878801154717802957e-01,2.507033456116914749e+00,6.227147674374282627e-01,9.876742471009491986e-02,1.330139323137700669e-01,-3.179433569312095642e-02,2.208001250401139259e+00
8.833654476422816426e-01,2.932581255212426186e+00,6.227147674374282627e-01,9.876742471009491986e-02,1.330139323137700669e-01,-3.179433569312095642e-02,2.208001250401139259e+00
8.833654476422816426e-01,2.507033456116914749e+00,9.086532550491392968e-01,9.876742471009491986e-02,1.330139323137700669e-01,-3.179433569312095642e-02,2.208001250401139259e+00
